"Aggression"	"Treatment"	"Crowd"
4	"Pre"	10
3	"Pre"	32
5	"Pre"	30
2	"Pre"	32
5	"Pre"	13
5	"Pre"	32
7	"Pre"	30
4	"Pre"	2
5	"Pre"	3
3	"Pre"	13
6	"Pre"	14
8	"Pre"	43
4	"Pre"	18
4	"Pre"	17
7	"Pre"	38
6	"Pre"	38
3	"Pre"	14
4	"Pre"	6
4	"Pre"	28
6	"Pre"	36
5	"Pre"	15
6	"Pre"	41
5	"Pre"	9
6	"Pre"	36
4	"Pre"	34
0	"Pre"	41
0	"Pre"	15
0	"Pre"	4
0	"Pre"	41
0	"Pre"	43
0	"During"	30
2	"During"	34
2	"During"	20
1	"During"	5
0	"During"	30
1	"During"	33
3	"During"	22
0	"During"	8
3	"During"	30
1	"During"	12
2	"During"	15
0	"During"	9
1	"During"	1
4	"During"	17
0	"During"	25
0	"During"	31
0	"During"	34
0	"During"	43
0	"During"	7
0	"During"	15
0	"During"	6
0	"During"	29
0	"During"	15
0	"During"	29
0	"During"	14
0	"During"	3
0	"During"	30
0	"During"	34
0	"During"	25
0	"During"	24
2	"Post"	38
5	"Post"	29
4	"Post"	43
5	"Post"	28
3	"Post"	22
3	"Post"	44
4	"Post"	22
5	"Post"	29
2	"Post"	27
2	"Post"	43
2	"Post"	17
1	"Post"	40
2	"Post"	20
2	"Post"	22
3	"Post"	21
2	"Post"	28
1	"Post"	27
2	"Post"	35
3	"Post"	25
2	"Post"	35
0	"Post"	18
0	"Post"	23
0	"Post"	24
0	"Post"	45
0	"Post"	19
0	"Post"	45
0	"Post"	35
0	"Post"	23
0	"Post"	23
0	"Post"	41
