"Thickness"	"Richness"
"low"	4
"low"	3
"low"	5
"low"	2
"low"	5
"low"	5
"low"	7
"low"	4
"low"	5
"low"	3
"low"	6
"low"	8
"low"	4
"low"	4
"low"	7
"low"	6
"low"	3
"low"	4
"low"	4
"low"	6
"low"	5
"low"	6
"low"	5
"low"	6
"low"	4
"low"	3
"low"	7
"low"	8
"low"	5
"low"	4
"medium"	9
"medium"	8
"medium"	11
"medium"	7
"medium"	6
"medium"	12
"medium"	10
"medium"	12
"medium"	7
"medium"	7
"medium"	10
"medium"	6
"medium"	7
"medium"	15
"medium"	9
"medium"	9
"medium"	7
"medium"	8
"medium"	15
"medium"	11
"medium"	12
"medium"	5
"medium"	14
"medium"	4
"medium"	7
"medium"	14
"medium"	8
"medium"	14
"medium"	10
"medium"	4
"high"	28
"high"	28
"high"	32
"high"	32
"high"	30
"high"	34
"high"	26
"high"	37
"high"	25
"high"	28
"high"	31
"high"	19
"high"	30
"high"	26
"high"	29
"high"	50
"high"	37
"high"	24
"high"	35
"high"	18
"high"	30
"high"	24
"high"	19
"high"	35
"high"	28
"high"	35
"high"	27
"high"	29
"high"	26
"high"	32
