village	conc	age	at.risk	events	gender	type
1	0	22.5	2595529	0	0	0
1	0	27.5	1846189	2	0	0
1	0	32.5	1402764	0	0	0
1	0	37.5	1215899	2	0	0
1	0	42.5	1191615	8	0	0
1	0	47.5	1111810	14	0	0
1	0	52.5	957985	36	0	0
1	0	57.5	774836	52	0	0
1	0	62.5	634758	77	0	0
1	0	67.5	492203	68	0	0
1	0	72.5	342767	70	0	0
1	0	77.5	199630	43	0	0
1	0	82.5	96293	21	0	0
1	0	22.5	2595529	7	0	1
1	0	27.5	1846189	19	0	1
1	0	32.5	1402764	17	0	1
1	0	37.5	1215899	41	0	1
1	0	42.5	1191615	75	0	1
1	0	47.5	1111810	112	0	1
1	0	52.5	957985	160	0	1
1	0	57.5	774836	200	0	1
1	0	62.5	634758	258	0	1
1	0	67.5	492203	230	0	1
1	0	72.5	342767	190	0	1
1	0	77.5	199630	108	0	1
1	0	82.5	96293	45	0	1
2	10	22.5	934	0	0	0
2	10	27.5	489	0	0	0
2	10	32.5	276	0	0	0
2	10	37.5	317	0	0	0
2	10	42.5	374	0	0	0
2	10	47.5	435	1	0	0
2	10	52.5	342	0	0	0
2	10	57.5	277	1	0	0
2	10	62.5	203	2	0	0
2	10	67.5	175	0	0	0
2	10	72.5	105	1	0	0
2	10	77.5	78	1	0	0
2	10	82.5	38	0	0	0
2	10	22.5	934	0	0	1
2	10	27.5	489	0	0	1
2	10	32.5	276	0	0	1
2	10	37.5	317	0	0	1
2	10	42.5	374	0	0	1
2	10	47.5	435	0	0	1
2	10	52.5	342	0	0	1
2	10	57.5	277	0	0	1
2	10	62.5	203	2	0	1
2	10	67.5	175	3	0	1
2	10	72.5	105	0	0	1
2	10	77.5	78	0	0	1
2	10	82.5	38	0	0	1
