"Id"	"PA"	"elevation"
1	1	223
2	1	260
3	1	243
4	1	246
5	1	176
6	1	160
7	1	176
8	1	186
9	1	180
10	1	201
11	1	187
12	1	202
13	1	206
14	1	206
15	1	171
16	1	173
17	1	205
18	1	209
19	1	127
20	1	137
21	1	137
22	1	140
23	1	156
24	1	142
25	1	153
26	1	179
27	1	176
28	1	160
29	1	147
30	1	151
31	1	143
32	1	144
33	1	149
34	1	165
35	1	138
36	1	177
37	1	185
38	1	202
39	1	110
40	1	123
41	1	131
42	1	161
43	1	155
44	1	128
45	1	144
46	1	148
47	1	142
48	1	100
49	1	101
50	1	100
51	1	99
52	1	100
53	1	129
54	1	136
55	1	136
56	1	136
57	1	139
58	1	373
59	1	398
60	1	341
61	1	335
62	1	218
63	1	200
64	1	211
65	1	202
66	1	202
67	1	223
68	1	245
69	1	172
70	1	190
71	1	211
72	1	235
73	1	233
74	1	188
75	1	225
76	1	150
77	1	176
78	1	155
79	1	202
80	1	185
81	1	225
82	1	215
83	1	129
84	1	131
85	1	133
86	1	196
87	1	165
88	1	214
89	1	153
90	1	152
91	1	152
92	1	157
93	1	163
94	1	149
95	1	171
96	1	178
97	1	226
98	1	223
99	1	238
100	1	237
101	1	164
102	1	160
103	1	212
104	1	199
105	1	202
106	1	229
107	1	234
108	1	156
109	1	164
110	1	150
111	1	145
112	1	168
113	1	169
114	1	205
115	1	163
116	1	183
117	1	210
118	1	127
119	1	129
120	1	128
121	1	169
122	1	178
123	1	169
124	1	178
125	1	220
126	0	208
127	0	107
128	0	222
129	0	120
130	0	178
131	0	125
132	0	159
133	0	266
134	0	269
135	0	331
136	0	158
137	0	271
138	0	447
139	0	227
140	0	391
141	0	88
142	0	147
143	0	274
144	0	168
145	0	89
146	0	297
147	0	249
148	0	121
149	0	386
150	0	130
151	0	162
152	0	172
153	0	431
154	0	301
155	0	131
156	0	104
157	0	176
158	0	84
159	0	132
160	0	120
161	0	317
162	0	204
163	0	195
164	0	124
165	0	176
166	0	199
167	0	157
168	0	176
169	0	139
170	0	226
171	0	100
172	0	159
173	0	108
174	0	107
175	0	112
176	0	249
177	0	298
178	0	324
179	0	241
180	0	297
181	0	197
182	0	145
183	0	160
184	0	357
185	0	284
186	0	97
187	0	218
188	0	353
189	0	160
190	0	499
191	0	159
192	0	309
193	0	148
194	0	88
195	0	303
196	0	405
197	0	120
198	0	386
199	0	134
200	0	123
201	0	270
202	0	223
203	0	492
204	0	173
205	0	140
206	0	398
207	0	105
208	0	160
209	0	177
210	0	87
211	0	281
212	0	259
213	0	326
214	0	250
215	0	243
216	0	117
217	0	389
218	0	367
219	0	198
220	0	236
221	0	198
222	0	350
223	0	189
224	0	182
225	0	313
226	0	97
227	0	235
228	0	286
229	0	88
230	0	288
231	0	213
232	0	278
233	0	223
234	0	268
235	0	140
236	0	286
237	0	395
238	0	415
239	0	242
240	0	167
241	0	500
242	0	139
243	0	247
244	0	282
245	0	129
246	0	369
247	0	618
248	0	153
249	0	143
250	0	90
251	0	297
252	0	263
253	0	278
254	0	104
255	0	105
256	0	178
257	0	224
258	0	86
259	0	242
260	0	99
261	0	305
262	0	199
263	0	372
264	0	218
265	0	126
266	0	127
267	0	411
268	0	175
269	0	92
270	0	277
271	0	524
272	0	289
273	0	91
274	0	281
275	0	417
276	0	135
277	0	96
278	0	367
279	0	312
280	0	93
281	0	194
282	0	94
283	0	339
284	0	194
285	0	221
286	0	90
287	0	129
288	0	182
289	0	229
290	0	134
291	0	95
292	0	286
293	0	314
294	0	142
295	0	280
296	0	258
297	0	299
298	0	274
299	0	168
300	0	90
301	0	98
302	0	383
303	0	247
304	0	153
305	0	184
306	0	420
307	0	317
308	0	165
309	0	143
310	0	278
311	0	160
312	0	157
313	0	166
314	0	99
315	0	296
316	0	119
317	0	142
318	0	171
319	0	211
320	0	341
321	0	280
322	0	157
323	0	274
324	0	165
325	0	121
326	0	103
327	0	369
328	0	104
329	0	343
330	0	230
331	0	170
332	0	105
333	0	142
334	0	207
335	0	281
336	0	94
337	0	103
338	0	340
339	0	423
340	0	99
341	0	413
342	0	258
343	0	98
344	0	235
345	0	301
346	0	118
347	0	104
348	0	292
349	0	163
350	0	236
351	0	282
352	0	400
353	0	313
354	0	194
355	0	302
356	0	327
357	0	381
358	0	122
359	0	168
360	0	232
361	0	267
